id_lectura,id_dispositivo,Timestamp,Temperatura,Humedad,Frecuencia_audio,Luz
69,1,2025-11-27 21:10:53,26.7,41.0,,baja
70,1,2025-11-27 21:10:53,,,210.938,
71,1,2025-11-27 21:10:55,26.7,41.0,,baja
72,1,2025-11-27 21:10:55,,,210.938,
73,1,2025-11-27 21:10:57,26.7,41.0,,baja
74,1,2025-11-27 21:10:57,,,210.938,
75,1,2025-11-27 21:10:59,26.7,41.0,,baja
76,1,2025-11-27 21:10:59,,,210.938,
77,1,2025-11-27 21:11:01,26.7,41.0,,baja
78,1,2025-11-27 21:11:01,,,210.938,
79,1,2025-11-27 21:11:03,26.7,41.0,,baja
80,1,2025-11-27 21:11:03,,,210.938,
81,1,2025-11-27 21:11:05,26.7,41.0,,baja
82,1,2025-11-27 21:11:05,,,210.938,
83,1,2025-11-27 21:11:07,26.7,41.0,,baja
84,1,2025-11-27 21:11:07,,,210.938,
85,1,2025-11-27 21:11:09,26.7,41.0,,baja
86,1,2025-11-27 21:11:09,,,210.938,
87,1,2025-11-27 21:11:11,26.7,41.0,,baja
88,1,2025-11-27 21:11:11,,,210.938,
89,1,2025-11-27 21:11:13,26.7,40.0,,baja
90,1,2025-11-27 21:11:13,,,210.938,
91,1,2025-11-27 21:11:15,26.7,40.0,,baja
92,1,2025-11-27 21:11:15,,,210.938,
93,1,2025-11-27 21:11:17,26.7,41.0,,baja
94,1,2025-11-27 21:11:17,,,210.938,
95,1,2025-11-27 21:11:19,26.7,40.0,,baja
96,1,2025-11-27 21:11:19,,,210.938,
97,1,2025-11-27 21:11:21,26.7,40.0,,baja
98,1,2025-11-27 21:11:21,,,210.938,
99,1,2025-11-27 21:11:23,26.7,40.0,,baja
100,1,2025-11-27 21:11:23,,,210.938,
101,1,2025-11-27 21:11:25,26.7,40.0,,baja
102,1,2025-11-27 21:11:25,,,210.938,
103,1,2025-11-27 21:11:27,26.7,40.0,,baja
104,1,2025-11-27 21:11:27,,,210.938,
105,1,2025-11-27 21:11:29,26.7,40.0,,baja
106,1,2025-11-27 21:11:29,,,210.938,
107,1,2025-11-27 21:11:31,26.7,40.0,,baja
108,1,2025-11-27 21:11:31,,,210.938,
109,1,2025-11-27 21:11:33,26.7,40.0,,baja
110,1,2025-11-27 21:11:33,,,210.938,
111,1,2025-11-27 21:11:35,26.7,40.0,,baja
112,1,2025-11-27 21:11:35,,,210.938,
113,1,2025-11-27 21:11:37,26.7,40.0,,baja
114,1,2025-11-27 21:11:37,,,210.938,
115,1,2025-11-27 21:11:39,26.7,40.0,,baja
116,1,2025-11-27 21:11:39,,,210.938,
117,1,2025-11-27 21:11:41,26.7,40.0,,baja
118,1,2025-11-27 21:11:41,,,210.938,
119,1,2025-11-27 21:11:43,26.7,40.0,,baja
120,1,2025-11-27 21:11:43,,,210.938,
121,1,2025-11-27 21:11:45,26.7,40.0,,baja
122,1,2025-11-27 21:11:45,,,210.938,
123,1,2025-11-27 21:11:47,26.7,40.0,,baja
124,1,2025-11-27 21:11:47,,,210.938,
125,1,2025-11-27 21:11:49,26.7,40.0,,baja
126,1,2025-11-27 21:11:49,,,210.938,
127,1,2025-11-27 21:11:51,26.7,40.0,,baja
128,1,2025-11-27 21:11:51,,,210.938,
129,1,2025-11-27 21:11:53,26.7,40.0,,baja
130,1,2025-11-27 21:11:53,,,210.938,
131,1,2025-11-27 21:11:55,26.7,41.0,,baja
132,1,2025-11-27 21:11:55,,,210.938,
133,1,2025-11-27 21:11:57,26.7,41.0,,baja
134,1,2025-11-27 21:11:57,,,1980.47,
135,1,2025-11-27 21:11:59,26.7,41.0,,baja
136,1,2025-11-27 21:11:59,,,210.938,
137,1,2025-11-27 21:12:01,26.7,41.0,,baja
138,1,2025-11-27 21:12:01,,,210.938,
139,1,2025-11-27 21:12:03,26.7,41.0,,baja
140,1,2025-11-27 21:12:03,,,210.938,
141,1,2025-11-27 21:12:05,26.7,41.0,,baja
142,1,2025-11-27 21:12:05,,,925.781,
