id_lectura,id_dispositivo,Timestamp,Temperatura,Humedad,Frecuencia_audio,Luz
1,1,2025-11-27 21:09:45,26.7,41.0,,baja
2,1,2025-11-27 21:09:45,,,210.938,
3,1,2025-11-27 21:09:47,26.7,40.0,,baja
4,1,2025-11-27 21:09:47,,,210.938,
5,1,2025-11-27 21:09:49,26.7,40.0,,baja
6,1,2025-11-27 21:09:49,,,210.938,
7,1,2025-11-27 21:09:51,26.7,40.0,,baja
8,1,2025-11-27 21:09:51,,,210.938,
9,1,2025-11-27 21:09:53,26.7,40.0,,baja
10,1,2025-11-27 21:09:53,,,210.938,
11,1,2025-11-27 21:09:55,26.7,40.0,,baja
12,1,2025-11-27 21:09:55,,,210.938,
13,1,2025-11-27 21:09:57,26.7,40.0,,baja
14,1,2025-11-27 21:09:57,,,210.938,
15,1,2025-11-27 21:09:59,26.7,40.0,,baja
16,1,2025-11-27 21:09:59,,,210.938,
17,1,2025-11-27 21:10:01,26.7,40.0,,baja
18,1,2025-11-27 21:10:01,,,210.938,
19,1,2025-11-27 21:10:03,26.7,40.0,,baja
20,1,2025-11-27 21:10:03,,,210.938,
21,1,2025-11-27 21:10:05,26.7,40.0,,baja
22,1,2025-11-27 21:10:05,,,210.938,
23,1,2025-11-27 21:10:07,26.7,41.0,,baja
24,1,2025-11-27 21:10:07,,,210.938,
25,1,2025-11-27 21:10:09,26.7,41.0,,baja
26,1,2025-11-27 21:10:09,,,210.938,
27,1,2025-11-27 21:10:11,26.7,41.0,,baja
28,1,2025-11-27 21:10:11,,,210.938,
29,1,2025-11-27 21:10:13,26.7,41.0,,baja
30,1,2025-11-27 21:10:13,,,210.938,
31,1,2025-11-27 21:10:15,26.7,41.0,,baja
32,1,2025-11-27 21:10:15,,,210.938,
33,1,2025-11-27 21:10:17,26.7,41.0,,baja
34,1,2025-11-27 21:10:17,,,210.938,
35,1,2025-11-27 21:10:19,26.7,41.0,,baja
36,1,2025-11-27 21:10:19,,,210.938,
37,1,2025-11-27 21:10:21,26.7,41.0,,baja
38,1,2025-11-27 21:10:21,,,210.938,
39,1,2025-11-27 21:10:23,26.7,41.0,,baja
40,1,2025-11-27 21:10:23,,,210.938,
41,1,2025-11-27 21:10:25,26.7,41.0,,baja
42,1,2025-11-27 21:10:25,,,210.938,
43,1,2025-11-27 21:10:27,26.7,41.0,,baja
44,1,2025-11-27 21:10:27,,,210.938,
45,1,2025-11-27 21:10:29,26.7,41.0,,baja
46,1,2025-11-27 21:10:29,,,210.938,
47,1,2025-11-27 21:10:31,26.7,41.0,,baja
48,1,2025-11-27 21:10:31,,,210.938,
49,1,2025-11-27 21:10:33,26.7,41.0,,baja
50,1,2025-11-27 21:10:33,,,210.938,
51,1,2025-11-27 21:10:35,26.7,41.0,,baja
52,1,2025-11-27 21:10:35,,,210.938,
53,1,2025-11-27 21:10:37,26.7,41.0,,baja
54,1,2025-11-27 21:10:37,,,210.938,
55,1,2025-11-27 21:10:39,26.7,41.0,,baja
56,1,2025-11-27 21:10:39,,,210.938,
57,1,2025-11-27 21:10:41,26.7,41.0,,baja
58,1,2025-11-27 21:10:41,,,210.938,
59,1,2025-11-27 21:10:43,26.7,41.0,,baja
60,1,2025-11-27 21:10:43,,,210.938,
61,1,2025-11-27 21:10:45,26.7,41.0,,baja
62,1,2025-11-27 21:10:45,,,210.938,
63,1,2025-11-27 21:10:47,26.7,41.0,,baja
64,1,2025-11-27 21:10:47,,,210.938,
65,1,2025-11-27 21:10:49,26.7,41.0,,baja
66,1,2025-11-27 21:10:49,,,210.938,
67,1,2025-11-27 21:10:51,26.7,41.0,,baja
68,1,2025-11-27 21:10:51,,,210.938,
