id_nivelriesgo,id_dispositivo,Puntuacion,Nivel_detectado,Vegetacion,Estacion
121,1,2.66667,alto,Con vegetación,Lluviosa
122,1,2.66667,alto,Con vegetación,Lluviosa
123,1,2.33333,moderado,Con vegetación,Lluviosa
124,1,2.33333,moderado,Con vegetación,Lluviosa
125,1,2.66667,alto,Con vegetación,Lluviosa
126,1,2.66667,alto,Con vegetación,Lluviosa
127,1,2.66667,alto,Con vegetación,Lluviosa
128,1,2.66667,alto,Con vegetación,Lluviosa
129,1,2.66667,alto,Con vegetación,Lluviosa
130,1,2.33333,moderado,Con vegetación,Lluviosa
131,1,2.66667,alto,Con vegetación,Lluviosa
132,1,2.66667,alto,Con vegetación,Lluviosa
133,1,2.66667,alto,Con vegetación,Lluviosa
134,1,2.0,moderado,Sin vegetación,Seca
135,1,1.66667,moderado,Sin vegetación,Seca
136,1,1.66667,moderado,Sin vegetación,Seca
137,1,2.0,moderado,Sin vegetación,Seca
138,1,2.0,moderado,Sin vegetación,Seca
139,1,1.66667,moderado,Sin vegetación,Seca
140,1,2.0,moderado,Sin vegetación,Seca
141,1,2.0,moderado,Sin vegetación,Seca
142,1,1.66667,moderado,Sin vegetación,Seca
143,1,1.66667,moderado,Sin vegetación,Seca
144,1,2.0,moderado,Sin vegetación,Seca
145,1,2.0,moderado,Sin vegetación,Seca
146,1,1.66667,moderado,Sin vegetación,Seca
147,1,2.0,moderado,Sin vegetación,Seca
148,1,2.0,moderado,Sin vegetación,Seca
149,1,1.66667,moderado,Sin vegetación,Seca
150,1,2.0,moderado,Sin vegetación,Seca
151,1,2.0,moderado,Sin vegetación,Seca
152,1,1.66667,moderado,Sin vegetación,Seca
153,1,2.0,moderado,Sin vegetación,Seca
154,1,2.0,moderado,Sin vegetación,Seca
155,1,1.66667,moderado,Sin vegetación,Seca
156,1,2.0,moderado,Sin vegetación,Seca
157,1,1.66667,moderado,Sin vegetación,Seca
158,1,1.66667,moderado,Sin vegetación,Seca
159,1,2.0,moderado,Sin vegetación,Seca
160,1,1.66667,moderado,Sin vegetación,Seca
161,1,1.66667,moderado,Sin vegetación,Seca
162,1,2.0,moderado,Sin vegetación,Seca
163,1,2.0,moderado,Sin vegetación,Seca
164,1,2.0,moderado,Sin vegetación,Seca
165,1,2.0,moderado,Sin vegetación,Seca
166,1,1.66667,moderado,Sin vegetación,Seca
167,1,2.0,moderado,Sin vegetación,Seca
168,1,1.66667,moderado,Sin vegetación,Seca
169,1,1.66667,moderado,Sin vegetación,Seca
170,1,1.66667,moderado,Sin vegetación,Seca
171,1,2.0,moderado,Sin vegetación,Seca
172,1,1.66667,moderado,Sin vegetación,Seca
173,1,2.0,moderado,Sin vegetación,Seca
174,1,2.0,moderado,Sin vegetación,Seca
175,1,2.0,moderado,Sin vegetación,Seca
176,1,1.66667,moderado,Sin vegetación,Seca
177,1,2.0,moderado,Sin vegetación,Seca
178,1,2.0,moderado,Sin vegetación,Seca
179,1,1.66667,moderado,Sin vegetación,Seca
180,1,1.66667,moderado,Sin vegetación,Seca
181,1,2.0,moderado,Sin vegetación,Seca
182,1,2.0,moderado,Sin vegetación,Seca
183,1,1.66667,moderado,Sin vegetación,Seca
184,1,1.66667,moderado,Sin vegetación,Seca
185,1,2.0,moderado,Sin vegetación,Seca
186,1,2.0,moderado,Sin vegetación,Seca
187,1,1.66667,moderado,Sin vegetación,Seca
188,1,2.0,moderado,Sin vegetación,Seca
189,1,2.0,moderado,Sin vegetación,Seca
190,1,2.0,moderado,Sin vegetación,Seca
191,1,2.0,moderado,Sin vegetación,Seca
192,1,1.66667,moderado,Sin vegetación,Seca
193,1,2.0,moderado,Sin vegetación,Seca
194,1,1.66667,moderado,Sin vegetación,Seca
195,1,2.0,moderado,Sin vegetación,Seca
196,1,2.0,moderado,Sin vegetación,Seca
197,1,1.66667,moderado,Sin vegetación,Seca
198,1,2.0,moderado,Sin vegetación,Seca
199,1,2.0,moderado,Sin vegetación,Seca
200,1,1.66667,moderado,Sin vegetación,Seca
201,1,1.66667,moderado,Sin vegetación,Seca
202,1,1.66667,moderado,Sin vegetación,Seca
203,1,1.66667,moderado,Sin vegetación,Seca
204,1,1.66667,moderado,Sin vegetación,Seca
205,1,1.66667,moderado,Sin vegetación,Seca
206,1,1.66667,moderado,Sin vegetación,Seca
207,1,1.66667,moderado,Sin vegetación,Seca
