id_nivelriesgo,id_dispositivo,Puntuacion,Nivel_detectado,Vegetacion,Estacion
2,1,1.0,bajo,Sin vegetación,Seca
3,1,1.5,bajo,Sin vegetación,Seca
4,1,1.5,bajo,Sin vegetación,Seca
5,1,1.5,bajo,Sin vegetación,Seca
6,1,1.5,bajo,Sin vegetación,Seca
7,1,1.5,bajo,Sin vegetación,Seca
8,1,1.5,bajo,Sin vegetación,Seca
9,1,1.5,bajo,Sin vegetación,Seca
10,1,1.5,bajo,Sin vegetación,Seca
11,1,1.5,bajo,Sin vegetación,Seca
12,1,1.16667,bajo,Sin vegetación,Seca
13,1,1.16667,bajo,Sin vegetación,Seca
14,1,1.16667,bajo,Sin vegetación,Seca
15,1,1.16667,bajo,Sin vegetación,Seca
16,1,1.16667,bajo,Sin vegetación,Seca
