id_lectura,id_dispositivo,Timestamp,Temperatura,Humedad,Frecuencia_audio,Luz
5692,1,2025-12-03 18:42:16,25.8,44.0,,baja
5693,1,2025-12-03 18:42:16,,,246.094,
5694,1,2025-12-03 18:42:18,26.2,43.0,,baja
5695,1,2025-12-03 18:42:18,,,363.281,
5696,1,2025-12-03 18:42:20,26.2,43.0,,baja
5697,1,2025-12-03 18:43:20,26.2,43.0,,baja
5698,1,2025-12-03 18:43:20,,,234.375,
5699,1,2025-12-03 18:43:22,26.7,43.0,,baja
5700,1,2025-12-03 18:43:22,,,246.094,
5701,1,2025-12-03 18:43:24,26.7,43.0,,baja
5702,1,2025-12-03 18:43:24,,,246.094,
5703,1,2025-12-03 18:43:26,26.7,43.0,,baja
5704,1,2025-12-03 18:43:26,,,246.094,
5705,1,2025-12-03 18:43:28,26.7,43.0,,baja
5706,1,2025-12-03 18:43:28,,,363.281,
5707,1,2025-12-03 18:43:30,26.7,43.0,,baja
5708,1,2025-12-03 18:43:30,,,234.375,
5709,1,2025-12-03 18:44:25,26.7,43.0,,baja
5710,1,2025-12-03 18:44:25,,,234.375,
5711,1,2025-12-03 18:44:27,27.1,44.0,,baja
5712,1,2025-12-03 18:44:27,,,234.375,
5713,1,2025-12-03 18:44:29,27.1,44.0,,baja
5714,1,2025-12-03 18:44:29,,,304.688,
5715,1,2025-12-03 18:44:31,27.1,44.0,,baja
5716,1,2025-12-03 18:44:31,,,304.688,
5717,1,2025-12-03 18:44:33,27.1,44.0,,baja
5718,1,2025-12-03 18:44:33,,,363.281,
5719,1,2025-12-03 18:44:35,27.1,44.0,,baja
5720,1,2025-12-03 18:44:35,,,304.688,
5721,1,2025-12-03 18:44:37,27.1,44.0,,baja
5722,1,2025-12-03 18:44:37,,,363.281,
5723,1,2025-12-03 18:44:39,27.1,44.0,,baja
5724,1,2025-12-03 18:44:39,,,246.094,
5725,1,2025-12-03 18:44:41,27.1,44.0,,baja
5726,1,2025-12-03 18:44:41,,,656.25,
5727,1,2025-12-03 18:44:43,27.1,44.0,,baja
5728,1,2025-12-03 18:44:43,,,480.469,
5729,1,2025-12-03 18:44:45,27.1,44.0,,baja
5730,1,2025-12-03 18:44:45,,,480.469,
5731,1,2025-12-03 18:44:47,27.1,44.0,,baja
5732,1,2025-12-03 18:44:47,,,656.25,
5733,1,2025-12-03 18:44:49,27.1,44.0,,baja
5734,1,2025-12-03 18:44:49,,,480.469,
5735,1,2025-12-03 18:44:51,27.1,44.0,,baja
5736,1,2025-12-03 18:44:51,,,480.469,
5737,1,2025-12-03 19:42:28,25.3,39.0,,baja
5738,1,2025-12-03 19:42:28,,,656.25,
5739,1,2025-12-03 19:42:30,25.3,39.0,,baja
5740,1,2025-12-03 19:42:30,,,1136.72,
5741,1,2025-12-03 19:42:32,25.3,39.0,,baja
5742,1,2025-12-03 19:42:32,,,1019.53,
5743,1,2025-12-03 19:42:34,25.3,39.0,,baja
5744,1,2025-12-03 19:42:34,,,1265.62,
5745,1,2025-12-03 19:42:36,25.3,39.0,,baja
5746,1,2025-12-03 19:42:36,,,1019.53,
5747,1,2025-12-03 19:42:38,25.3,39.0,,baja
5748,1,2025-12-03 19:42:38,,,1019.53,
5749,1,2025-12-03 19:42:40,25.3,39.0,,baja
5750,1,2025-12-03 19:42:40,,,1921.88,
5751,1,2025-12-03 19:42:42,25.3,39.0,,baja
5752,1,2025-12-03 19:42:42,,,1019.53,
5753,1,2025-12-03 19:42:44,25.3,39.0,,baja
5754,1,2025-12-03 19:42:44,,,1019.53,
5755,1,2025-12-03 19:42:46,25.3,39.0,,baja
5756,1,2025-12-03 19:42:46,,,902.344,
5757,1,2025-12-03 19:42:48,25.3,39.0,,baja
5758,1,2025-12-03 19:42:48,,,1019.53,
5759,1,2025-12-03 19:42:50,25.3,39.0,,baja
5760,1,2025-12-03 19:42:50,,,1019.53,
5761,1,2025-12-03 19:42:52,25.3,39.0,,baja
5762,1,2025-12-03 19:42:52,,,1019.53,
5763,1,2025-12-03 20:18:21,25.2,38.0,,baja
5764,1,2025-12-03 20:18:21,,,234.375,
5765,1,2025-12-03 20:18:23,25.2,39.0,,baja
5766,1,2025-12-03 20:18:23,,,363.281,
5767,1,2025-12-03 20:18:25,25.2,39.0,,baja
5768,1,2025-12-03 20:18:25,,,363.281,
5769,1,2025-12-03 20:18:27,25.2,39.0,,baja
5770,1,2025-12-03 20:18:27,,,363.281,
5771,1,2025-12-03 20:18:29,25.2,39.0,,baja
5772,1,2025-12-03 20:18:29,,,363.281,
5773,1,2025-12-03 20:18:31,25.2,39.0,,baja
5774,1,2025-12-03 20:18:31,,,363.281,
5775,1,2025-12-03 20:18:33,25.2,39.0,,baja
5776,1,2025-12-03 20:18:33,,,363.281,
5777,1,2025-12-03 20:18:35,25.3,39.0,,baja
5778,1,2025-12-03 20:18:35,,,363.281,
5779,1,2025-12-03 20:18:37,25.3,39.0,,baja
5780,1,2025-12-03 20:18:37,,,363.281,
5781,1,2025-12-03 20:18:39,25.3,39.0,,baja
5782,1,2025-12-03 20:18:39,,,363.281,
5783,1,2025-12-03 20:18:41,25.3,39.0,,baja
5784,1,2025-12-03 20:18:41,,,363.281,
5785,1,2025-12-03 20:18:43,25.3,39.0,,baja
5786,1,2025-12-03 20:18:43,,,363.281,
5787,1,2025-12-03 20:18:45,25.3,39.0,,baja
5788,1,2025-12-03 20:18:45,,,363.281,
5789,1,2025-12-03 20:18:47,25.3,39.0,,baja
5790,1,2025-12-03 20:18:47,,,363.281,
5791,1,2025-12-03 20:18:49,25.3,39.0,,baja
5792,1,2025-12-03 20:18:49,,,363.281,
5793,1,2025-12-03 20:18:51,25.3,39.0,,baja
5794,1,2025-12-03 20:18:51,,,363.281,
5795,1,2025-12-03 20:18:53,25.3,39.0,,baja
5796,1,2025-12-03 20:18:53,,,363.281,
5797,1,2025-12-03 20:18:55,25.3,39.0,,baja
5798,1,2025-12-03 20:18:55,,,363.281,
5799,1,2025-12-03 20:18:57,25.3,39.0,,baja
5800,1,2025-12-03 20:18:57,,,304.688,
5801,1,2025-12-03 20:18:59,25.3,39.0,,baja
5802,1,2025-12-03 20:18:59,,,304.688,
5803,1,2025-12-03 23:34:25,24.4,49.0,,baja
5804,1,2025-12-03 23:34:25,,,246.094,
5805,1,2025-12-03 23:34:27,24.5,49.0,,baja
5806,1,2025-12-03 23:34:27,,,363.281,
5807,1,2025-12-03 23:34:29,24.5,49.0,,baja
5808,1,2025-12-03 23:34:29,,,234.375,
5809,1,2025-12-03 23:34:31,,,234.375,
5810,1,2025-12-03 23:34:33,24.5,49.0,,baja
5811,1,2025-12-03 23:34:33,,,234.375,
5812,1,2025-12-03 23:34:35,24.5,49.0,,baja
5813,1,2025-12-03 23:34:35,,,234.375,
5814,1,2025-12-03 23:35:33,24.5,49.0,,baja
5815,1,2025-12-03 23:35:33,,,234.375,
5816,1,2025-12-03 23:35:35,24.5,49.0,,baja
5817,1,2025-12-03 23:35:35,,,363.281,
